2017,2018,2019,2020
0.10701780103658902,0.08906704488197571,0.013574626235965158,0.07701396168424532
0.04516511865472067,0.05555207901478748,0.0659739107352868,0.08026731319916554
0.11697529591904342,0.1422175290483857,0.1763508512536342,0.18584514686312437
0.010103594397998038,0.01023298260446616,0.06642059814134246,0.01679885029219664
0.008470253634998816,0.01366131659048245,0.03408095816104713,0.033264997630165175
0.0021594360413897127,0.021326279915386194,0.03318610674923697,0.03377171765821867
0.019678721047994743,0.04869745814100581,0.06863013483374526,0.01683793534548619
0.277421410785604,0.14233432557206951,0.14279607506443567,0.07375605378108911
0.03660742011461549,0.03308916432245072,0.0251305596691878,0.017321701663044784
0.007011569638288658,0.006256175567789373,0.003695101572617767,0.029144952861735452
0.039949646916325764,0.09927454504435097,0.0366172759488887,0.121047710474485
0.18100257894692529,0.04731303028952632,0.03056084566622135,0.012934219665252246
0.004377089838945229,0.011166984533748365,0.019274848015980617,0.03732500839023254
0.039159121176668706,0.022708076808038075,0.008786607263500001,
0.02284162935182339,0.04529917862244347,0.011542958238669559,0.03372880888099854
0.022105119383062116,0.08162122302503856,0.1764295817549566,0.1116267704906372
0.0365115680539881,0.01744403827693935,0.015728211261717067,0.043914634638871894
0.010730975115572222,0.05190624273976783,0.011768715069413939,0.023705410317350656
0.005499224171383691,0.01520429236891228,0.0047657355051470805,0.001006763906050951
0.0026149033135130207,0.006131359220487898,0.017490661104403078,0.016107624635482445
,0.010091313181082723,0.005760215638257758,0.012121420353651047
,0.009712758841823734,0.014362133779340942,0.004103031988518361
,0.005394930693308122,0.002544510700923145,0.0009569238202694135
,0.009126820709475835,0.0065506701834722745,0.01290164884323111
,0.000746759543952867,0.003045967461732119,
